image_id,group_id,is_intruder
fif-674-sa8mu,coh-296-y3ihk,0
fif-186-9y6lz,coh-400-xqe2f,0
fif-339-7j3vl,coh-442-767qd,0
fif-880-yqszr,coh-478-ew5kn,0
fif-131-iqz7i,coh-154-y2r56,0
fif-982-7xnuy,coh-685-qguj8,0
fif-814-6f83k,coh-419-o3p1n,0
fif-855-kwqxb,coh-787-hkijp,0
fif-564-u2hk0,coh-198-i1by5,1
fif-794-90l7p,coh-591-pf9hs,0
fif-521-2ap05,coh-444-001gg,0
fif-939-2i7ix,coh-543-xsgbm,0
fif-483-zwduc,coh-917-r6aru,0
fif-500-tjelk,coh-603-ngyn9,0
fif-761-epuve,coh-478-ew5kn,0
fif-728-zdq8c,coh-448-ne6vq,0
fif-371-dmjpq,coh-728-7606i,0
fif-420-ehtpa,coh-154-y2r56,0
fif-932-ril8j,coh-315-fwnku,0
fif-981-14lke,coh-797-qavod,0
fif-871-zn4yb,coh-540-3xat3,1
fif-821-qgd19,coh-180-az8ep,0
fif-544-rdwyd,coh-917-r6aru,0
fif-382-odhv4,coh-103-fp6y4,0
fif-666-h9rlf,coh-948-2vlaf,0
fif-179-29is3,coh-478-ew5kn,0
fif-426-6e34e,coh-642-hkwgk,0
fif-568-swgbl,coh-296-y3ihk,0
fif-250-hczk8,coh-497-mf602,0
fif-790-0y15x,coh-603-ngyn9,0
fif-806-gpsk4,coh-642-hkwgk,0
fif-243-4htrd,coh-180-az8ep,0
fif-378-yp0dg,coh-917-r6aru,0
fif-924-8rld5,coh-728-7606i,1
fif-834-h7kdw,coh-478-ew5kn,0
fif-968-68huz,coh-421-a83ds,0
fif-201-nwgba,coh-161-zu9vx,0
fif-501-d81gj,coh-198-i1by5,1
fif-948-k431r,coh-439-ct46a,0
fif-403-ftrzv,coh-438-537li,1
fif-100-dc0ff,coh-478-ew5kn,0
fif-758-abwy1,coh-155-w3cuu,0
fif-308-csssm,coh-762-v5grx,1
fif-960-2uus4,coh-797-qavod,0
fif-775-v9nn2,coh-619-ykooj,1
fif-518-2y468,coh-314-cyvwz,1
fif-761-5edjk,coh-400-xqe2f,0
fif-764-2bzdp,coh-155-w3cuu,0
fif-689-01un5,coh-155-w3cuu,0
fif-475-rrl8u,coh-387-atf8w,0
fif-941-gf879,coh-921-rw9nn,0
fif-245-f8lzc,coh-439-ct46a,0
fif-865-yqvbw,coh-254-ji8hz,1
fif-330-3qk68,coh-387-atf8w,1
fif-345-c95zr,coh-312-wzc7v,1
fif-146-59aty,coh-539-gka6j,0
fif-192-ynz99,coh-759-u0n5r,0
fif-527-qlwrt,coh-795-i4jqe,0
fif-337-ctz3g,coh-419-o3p1n,0
fif-740-ffcw4,coh-846-8gyfn,0
fif-371-kntb3,coh-296-y3ihk,0
fif-575-srj2f,coh-877-8o5ce,1
fif-751-9j2p2,coh-605-ikk09,1
fif-553-oupim,coh-103-fp6y4,0
fif-265-ivpi2,coh-897-my8lx,0
fif-141-egcvi,coh-312-wzc7v,1
fif-342-e55ja,coh-444-001gg,0
fif-310-3fnxi,coh-439-ct46a,0
fif-418-dq2op,coh-745-bwyph,0
fif-807-gcty2,coh-444-001gg,1
fif-504-mzv6o,coh-519-t8pn4,0
fif-527-ou7yp,coh-828-e3gsc,0
fif-439-4gpt0,coh-519-t8pn4,0
fif-927-wirau,coh-716-jmq0c,1
fif-191-1h9u4,coh-421-a83ds,1
fif-798-4kho6,coh-539-gka6j,0
fif-887-0g1y0,coh-314-cyvwz,0
fif-434-iygc7,coh-762-v5grx,0
fif-586-49c8u,coh-163-cpov7,1
fif-132-cgvcx,coh-591-pf9hs,1
fif-300-z2wfe,coh-154-y2r56,0
fif-936-tauuk,coh-605-ikk09,0
fif-787-1syjp,coh-846-8gyfn,1
fif-667-kc5tu,coh-198-i1by5,0
fif-151-9la28,coh-691-1b83j,0
fif-586-4kxi1,coh-444-001gg,0
fif-896-s0154,coh-161-zu9vx,0
fif-437-2gxzs,coh-439-ct46a,0
fif-224-0dlc1,coh-543-xsgbm,0
fif-841-fnmaj,coh-967-dqgep,0
fif-486-z6e2c,coh-916-fkaub,0
fif-754-ytzib,coh-691-1b83j,0
fif-134-ww0fk,coh-897-my8lx,1
fif-164-a7b3b,coh-917-x87i6,0
fif-115-iljwt,coh-619-ykooj,0
fif-799-c3xag,coh-828-e3gsc,0
fif-299-mnifd,coh-659-s9zzd,1
fif-311-lqztz,coh-297-0moo0,0
fif-254-gxl2f,coh-387-atf8w,1
fif-804-fg0pv,coh-916-fkaub,0
fif-605-v0j5c,coh-315-fwnku,0
fif-867-n3qbu,coh-917-x87i6,0
fif-927-hgs89,coh-916-fkaub,0
fif-630-rwclc,coh-383-4ykk6,0
fif-436-9f0m9,coh-759-u0n5r,0
fif-941-9zdug,coh-366-mtpxp,0
fif-915-okb4l,coh-421-a83ds,0
fif-677-3ebr1,coh-759-u0n5r,1
fif-101-nxa3k,coh-698-262ax,1
fif-984-7zxyd,coh-254-ji8hz,0
fif-728-9ep8j,coh-877-8o5ce,0
fif-924-vyx3x,coh-439-ct46a,0
fif-818-29ur4,coh-438-537li,0
fif-418-i7gjl,coh-605-ikk09,0
fif-181-09v54,coh-215-f48c6,0
fif-941-nlr7x,coh-297-0moo0,1
fif-293-8pz5o,coh-387-atf8w,0
fif-853-mi6md,coh-795-i4jqe,0
fif-521-kbtfu,coh-296-y3ihk,1
fif-506-4d691,coh-161-zu9vx,0
fif-887-aoe39,coh-642-hkwgk,1
fif-401-60f4r,coh-877-8o5ce,1
fif-569-11j6q,coh-897-my8lx,1
fif-751-yma67,coh-198-i1by5,0
fif-379-0ikin,coh-438-537li,1
fif-886-yn8sy,coh-539-gka6j,0
fif-391-fq68w,coh-897-my8lx,0
fif-404-uwxue,coh-444-001gg,0
fif-274-c0j5b,coh-728-7606i,0
fif-117-ir595,coh-775-etpku,0
fif-421-pyfsx,coh-366-mtpxp,0
fif-429-dasfl,coh-685-qguj8,0
fif-998-akojn,coh-728-7606i,0
fif-773-qmzsw,coh-297-0moo0,0
fif-917-wowzt,coh-846-8gyfn,0
fif-283-d31om,coh-603-ngyn9,0
fif-190-87unk,coh-921-rw9nn,0
fif-581-9zvq9,coh-642-hkwgk,0
fif-438-xi5y7,coh-442-767qd,0
fif-418-8lz0g,coh-519-t8pn4,1
fif-469-sz2el,coh-948-2vlaf,0
fif-361-efc4e,coh-315-fwnku,0
fif-849-yoos4,coh-539-gka6j,0
fif-278-p1guq,coh-442-767qd,0
fif-879-mzl6a,coh-591-pf9hs,0
fif-732-6ujoe,coh-797-qavod,0
fif-826-741dh,coh-448-ne6vq,0
fif-626-t6mw6,coh-163-cpov7,0
fif-393-vbnva,coh-444-001gg,0
fif-685-0yaq9,coh-314-cyvwz,0
fif-749-207j1,coh-659-s9zzd,1
fif-687-06sis,coh-540-3xat3,0
fif-284-ydyf5,coh-235-3zt77,0
fif-536-spni6,coh-539-gka6j,0
fif-250-r1xel,coh-607-c3rjp,0
fif-386-x2fnx,coh-315-fwnku,0
fif-286-nxzh0,coh-478-ew5kn,0
fif-720-t04ce,coh-685-qguj8,1
fif-364-9bqmy,coh-728-7606i,0
fif-532-p8o0t,coh-376-i8rnw,0
fif-130-9o3i9,coh-215-f48c6,1
fif-795-2ntax,coh-497-mf602,0
fif-641-ykiet,coh-154-y2r56,0
fif-873-bntr7,coh-297-0moo0,0
fif-828-5tli5,coh-421-a83ds,0
fif-852-2pzx1,coh-787-hkijp,0
fif-574-4e3kh,coh-642-hkwgk,0
fif-292-tap4z,coh-659-s9zzd,0
fif-967-1i3ee,coh-198-i1by5,0
fif-349-cea2v,coh-478-ew5kn,0
fif-405-1m21z,coh-161-zu9vx,1
fif-966-loi5m,coh-442-767qd,0
fif-843-pdh2x,coh-787-hkijp,0
fif-114-38o1n,coh-297-0moo0,0
fif-716-q87bo,coh-762-v5grx,1
fif-539-ephf9,coh-745-bwyph,0
fif-840-9bsje,coh-919-c6dgu,0
fif-615-rxf7a,coh-180-az8ep,0
fif-145-j8yut,coh-591-pf9hs,0
fif-781-sswy4,coh-122-0p25m,0
fif-919-mmwrx,coh-154-y2r56,0
fif-666-hujn7,coh-787-hkijp,0
fif-100-4hr6f,coh-839-tntks,1
fif-523-tlnn7,coh-948-2vlaf,0
fif-868-1obce,coh-400-xqe2f,0
fif-824-m114z,coh-383-4ykk6,0
fif-815-uhuop,coh-691-1b83j,0
fif-447-f9zo2,coh-619-ykooj,0
fif-500-59ras,coh-497-mf602,0
fif-849-rbal8,coh-444-001gg,0
fif-268-i12c5,coh-795-i4jqe,0
fif-324-scsxo,coh-839-tntks,0
fif-580-ocald,coh-948-2vlaf,0
fif-594-fobl7,coh-797-qavod,0
fif-603-divj6,coh-460-83h4z,0
fif-451-d7qb9,coh-154-y2r56,0
fif-360-ucfja,coh-539-gka6j,1
fif-622-dqtci,coh-519-t8pn4,0
fif-867-5k0mt,coh-122-0p25m,0
fif-947-f77oa,coh-839-tntks,1
fif-352-r7t0q,coh-685-qguj8,0
fif-365-j6viy,coh-460-83h4z,0
fif-612-481hj,coh-967-dqgep,0
fif-592-po1oh,coh-925-1jy62,0
fif-544-3811v,coh-235-3zt77,0
fif-124-fprv2,coh-215-f48c6,0
fif-922-l3rsy,coh-967-dqgep,0
fif-137-tw8nh,coh-916-fkaub,0
fif-807-2v9jn,coh-180-az8ep,0
fif-751-f9ked,coh-762-v5grx,0
fif-226-m536z,coh-787-hkijp,0
fif-990-ot0gp,coh-103-fp6y4,0
fif-108-4kgkf,coh-460-83h4z,0
fif-291-cq83q,coh-155-w3cuu,0
fif-608-pc48f,coh-619-ykooj,0
fif-746-ykhdn,coh-728-7606i,0
fif-209-235vv,coh-366-mtpxp,0
fif-345-c1t0q,coh-419-o3p1n,1
fif-576-9h6cv,coh-155-w3cuu,0
fif-440-2leh7,coh-383-4ykk6,0
fif-252-v54ps,coh-540-3xat3,0
fif-542-e4wuk,coh-543-xsgbm,1
fif-112-5pqsh,coh-400-xqe2f,0
fif-986-tid3b,coh-419-o3p1n,1
fif-901-sjubv,coh-897-my8lx,0
fif-194-fp62z,coh-297-0moo0,0
fif-601-pxlml,coh-122-0p25m,0
fif-641-7g5ic,coh-460-83h4z,0
fif-200-8dimp,coh-795-i4jqe,0
fif-364-on00w,coh-155-w3cuu,0
fif-921-56uaa,coh-296-y3ihk,0
fif-539-ei6wf,coh-948-2vlaf,0
fif-356-gcyq6,coh-254-ji8hz,0
fif-141-5t4vf,coh-448-ne6vq,0
fif-669-u5efe,coh-235-3zt77,0
fif-253-2j13b,coh-180-az8ep,0
fif-250-liwjw,coh-607-c3rjp,0
fif-147-718oy,coh-698-262ax,0
fif-986-9mh2a,coh-745-bwyph,0
fif-424-7rk3r,coh-787-hkijp,1
fif-173-agbsk,coh-400-xqe2f,0
fif-960-ti379,coh-775-etpku,0
fif-884-301ea,coh-122-0p25m,0
fif-395-6ua68,coh-254-ji8hz,0
fif-613-tlmjm,coh-421-a83ds,0
fif-832-nt6up,coh-296-y3ihk,0
fif-515-eyz7l,coh-917-r6aru,1
fif-678-2q6pn,coh-460-83h4z,0
fif-240-0s64h,coh-460-83h4z,0
fif-844-5nbr8,coh-716-jmq0c,0
fif-207-4dqhk,coh-254-ji8hz,0
fif-188-93tl7,coh-314-cyvwz,0
fif-324-go7t3,coh-607-c3rjp,0
fif-729-elgjj,coh-215-f48c6,0
fif-640-g0df5,coh-442-767qd,0
fif-580-2mzw5,coh-103-fp6y4,1
fif-166-yt1lz,coh-685-qguj8,0
fif-560-k8ky3,coh-716-jmq0c,0
fif-408-h6ipi,coh-659-s9zzd,0
fif-711-76kti,coh-419-o3p1n,0
fif-169-gror8,coh-839-tntks,0
fif-896-4o0ft,coh-603-ngyn9,0
fif-687-wmgky,coh-919-c6dgu,1
fif-661-t8i4y,coh-919-c6dgu,1
fif-194-os2af,coh-103-fp6y4,0
fif-108-nrce5,coh-366-mtpxp,0
fif-602-5zelz,coh-312-wzc7v,0
fif-536-alkaz,coh-775-etpku,0
fif-294-j24fk,coh-745-bwyph,0
fif-621-xbr1x,coh-215-f48c6,0
fif-512-rm3w7,coh-448-ne6vq,0
fif-863-3i594,coh-497-mf602,0
fif-471-4h6na,coh-543-xsgbm,1
fif-127-p85ge,coh-603-ngyn9,0
fif-470-48cfu,coh-163-cpov7,0
fif-181-3zzfv,coh-745-bwyph,0
fif-860-rm6k3,coh-846-8gyfn,1
fif-245-68rij,coh-312-wzc7v,0
fif-235-17q53,coh-438-537li,0
fif-647-z25xy,coh-312-wzc7v,0
fif-447-22c4j,coh-366-mtpxp,0
fif-823-shr22,coh-122-0p25m,0
fif-223-a91ie,coh-376-i8rnw,1
fif-379-ccdz0,coh-421-a83ds,0
fif-590-g29yo,coh-254-ji8hz,0
fif-435-7f8gz,coh-198-i1by5,0
fif-390-cuf5i,coh-315-fwnku,0
fif-565-pw9eu,coh-314-cyvwz,0
fif-536-f27am,coh-400-xqe2f,0
